NR,Rolle,Firma,Typ,Aussage,Cluster,Dauer min.,Dauer max.,Beschreibung,,,,,,,,,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"In our case, it probably was one of the most complex. It took us two years and a half.",Volle / Restliche Implementierung ,30,,Kompletter Set up: 2.5 Jahre ,,,,,,,,,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"But then if you're not so complex, you can probably do it in, I don't know, six months in terms of implementation.",Volle / Restliche Implementierung ,6,,6 Monate wenn nicht zu komplex,,,,,,,,,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"I would say probably over a year just in terms of the content of Collibra. Once we got to
them, just putting in the system and then rolling it out was fine. The workflows were a bit
clunky.",Volle / Restliche Implementierung ,12,,nur collibra Set up: 1 Jahr,,,,,,,,,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So in the workflows, we had business owners that, for instance, would create a new term or
give a new definition or create a change in the EDM. So those workflows were a bit clunky, it
took us a bit to get around it. And then it was the country's implementation, again, we kind
of did it in one year, one year and a half, with each of the countries.
",Volle / Restliche Implementierung ,12,,"Set up in den restl. Ländern: 1-1.5 Jahre
Ursprüngliches Set up steht aber schon",,,,,,,,,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"How long did that implementation take you in your specific case?
(29:33 - 29:35)
AH: Yeah, I would say a year.",Volle / Restliche Implementierung ,12,,Implementierung: 1 Jahr ,,,,,,,,,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"It was over a year to really get it to, I mean, we got it up and running in no time. But to
really see the benefits and usage, it took about a year.",Quick Wins ,12,,Quick wins sehen und lernen zu Nutzen: 1 Jahre ,,,,,,,,,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story, I think it depends on the complexity of the organization.,,,,,,,,,,,,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Also, wenn ich das Tool in einem
kleinen Bereich einführe, sage ich mal für 200-300 Leute, natürlich dann kann ich hier
innerhalb von drei Monaten Mehrwert stiften. Wenn ich aber sage, mein Ziel ist erreicht,
wenn ich das ganze  Unternehmen beglückt habe, dann dauert es irgendwie fünf Jahre, zehn
Jahre, whatever.",Quick Wins ,3,120,"erster Mehrwert in kleinen Bereichen: innerhalb 3 Monate 
Wenn ganzes Unternehmen: 5-10 Jahre ",,,,,,,,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Wir gehen davon aus eigentlich, wenn ein Kunde
ein Budget hat, bei ihnen die Leute bereitstehen, alle mitmachen, auch die Technik geklärt ist,
manchmal dauert es drei Monate, wie sie den Server organisieren. Aber ich meine, wenn wir
das jetzt mal alles außen vor lassen, dann hat man schon eine Chance, dass man zwischen
sechs und zwölf Wochen dann auch erste Benefits sieht.",Vorarbeit ,3,,"Wenn Budget, Leute, Technik, Bereitschaft 
MA, Server klären: 3 Monate 
Erste quick wins: 6-12 Wochen",,,,,,,,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,,Quick Wins ,2,,,,,,,,,,,,,,,,,
